tweet_filter,arabizi
qatar world cup fans could be housed in tents,0
did u sign something on colonia?,0
capital inflows fall 27 percent in january,0
what is now proven was once only imagin'd,0
apple launches carekit to create health apps,0
. nice pic. r. k. : the look,0
by qusay tariq leonardodicaprio,0
iran to build statue to commemorate capture of u.s. sailors,0
travelling to saida or just twittering about saida?,0
can you find saida on the map? just try it at,0
why my alarm goes off and i'm thinking to myself: do i really need to get educated?,0
. match guellal bass bala atleh bil ekhir isa khsorteh:,0
bill gates on andy grove's death: 'he was one of the great business leaders of the 20th century',0
yalla hayne ?,1
msh haram ma koun hon halla2 arit nawme badal hal wa3ye 3al jem3et el khara? ?,1
? @ villa clara,0
opinion: asian women are being trafficked into syria as servants and slaves,0
always late always ?,0
where is saida on the map? play the game at,0
required urgently nanny housekeeper driver waiter waitress caregiver in uk attractive..,0
g mal a la tete bonjour ?,0
when u reach the end of ur rope tie a knot in it and hang on,0
opinion: not for sale,0
happy birthday and good morning dear friends,0
opinion: strategic constants behind the russian withdrawal,0
. yalla match guellal: good morning. r. k.,0
berri slams proposals to change quorum affirms he will not violate the constitution,0
"families of isis-held captives warn of """"painful"""" actions",0
azzi: we are not border guards for europe,0
reuters: myanmar's aung san kyi nominated to join cabinet parliament speaker says,0
all alien language to me,0
to amman (@ beirut-rafic hariri international airport (bey) - @beyairport in beirut),0
find a way,0
i just got aids,0
it wont happen?,0
ross,0
i love you please reply,0
he's talking about us.,0
esto es,0
eh bsir ben2ul students,1
let your soul shine through your words,0
eu official optimistic about syria's political process: the european union's foreign policy chief on monday,0
local groups demand bigger slice of aid pie for world's crises: when islamic state fighters tried to enter a,0
khalilak emmak habibi ya hicham,1
good morning?,0
sometimes playing golf is just playing,0
because it's all i need,0
current weather in beirut: mostly cloudy 14 c 67% humidity wind 8km/h visibility 8km pressure 1015mb rising,0
5:38am: sunrise sunset will be at 5:49pm today's forecast: sunny 19/13 c tomorrow: sunny 23/19 c,0
good morning ! sun will rise in 30 minutes (local time 05:38) graphy,0
cade vcs votando vamos deixar ele na casa?,0
onde q a munik vai ficar otima? nao entendo! deixar o casal bosta e melhor ne? assim eles roubam o premio q legal,0
vcs est?o votando ?,0
zola is crazy.,0
i'm at beirut,0
vota ?o fraca e parada! que legal nosso tombo vai ser enorme depois de tantas vitorias! parab ns gente vamos deixar peppa e fififi felizes,0
q merda de volta laham essa? no momento q precisamos focar em tirar o matheus? nosso tombo vai ser grande,0
flw ? ? subscrib?,0
vamos deixar o matheus ficar na casa por causa do rapaz q nem esta mais dentro do ada!,0
votem cade a for a de vcs! cade a rejei ?o do,0
acordo esperando ver a minha tela cheia de mais so vejo libanik? ta bom ent?o deixa o matheus la dentro p munik perder o premio,0
travelling to zahle or just twittering about zahle?,0
can you find zahle on the map? just try it at,0
where is zahle on the map? play the game at,0
get . these . thoughts . out . of . my . fucking . mind.,0
apple announces iphone se: a smaller cheaper smartphone,0
loves imperialism but hates dictatorships. when your brain is a white supremacist potato,0
"oliviaculverr : """"just bought this sweet sweatshirt off my sister :-p""""",0
ghatsin,0
is any ready for new adidas tracksuit,0
missing that old time riz2allah,0
katy pls stay here forever i wont let u go,0
imperialism,0
miss you raya,0
kello neyem,1
hi i love asshole of old grandpa not fate do you have one for me,0
chu 3amlin,1
exactly,0
they reclaimed iran as well. contrary to popular naive opinion american imperialism is winning.,0
*separates self from self*,0
today the first steps towards returning cuba back to the us were taken. us imperialism is reclaiming latin america,0
leh kelkon betnemo abl l djejet,1
he s gonna make us great again,0
if you can't control what you think you will not be able to control what you do.,0
schories never ceases to surprise me,0
each day holds a surprise. but only if we expect it can we hear or feel it when it comes,0
rapid opel darksyon zet air bag efel sontral ndif ktir $3200,0
happy middle eastern mother's day to my beautiful @ bcharreh liban-nord lebanon,0
debe ser colocado en los museos #10,0
no place like lebanon,0
ram + y = a + ram = aram,0
ndu faculty and staff supporting the cso mission and all ndu clubs to restore 10 lebanese houses,0
let's hope this wish comes true as well for my birthday in beirut this summer,0
chou ghaleh l poulet a la kiev!,1
great event cso/sao supported by all ndu staff and faculty members. bless you for all your effort,0
i really love it such a beautiful and unique name ? alla,0
same. 10x tru fan :3,0
"illaden : """"gemmayzeh street in beirut lebanon. """"",0
kholso l 70 slide (w ana khlosset w chakla fiya round 2 jdid.,0
revista: escapes panam?,0
nothing can hold me back anymore.. i know what i want &amp; i'm gonna get it!,0
the perfect body w ana be72od 3alayha !,0
temperature down 17 c -&gt; 16 c wind 13km/h -&gt; 14km/h,0
? ? happy 10th birthday ? ^ your friends,0
i just dont understand the way most humans think. rt,0
reminds me much of those summer nights,0
want to cure your ? the solution is shockingly easy:,0
ready to get started htc dot view? learn what you need to know with this quick &amp; easy guide:,0
for has updated. has the latest for you:,0
must be fucking traumatizing,0
goodnight cutes,0
a failure of epic proportions by apple and i'm loving every single moment of it.,0
i failure of epic proportions by apple and i'm loving every single moment of it.,0
amanh? n?o tenho a primeira aula ?,0
i'm sick. wish me to get better,0
omg stop using weird canadian words what's a toaster oven elaborate,0
jen amiga me empresta esse casaco,0
saudades kelly key,0
omfg,0
e pra n?o dizer que eu sou ruim eu vou deixar voc me olhar,0
138. top gun (1986). 8/10.,0
wa2ta hada yehke with ur crush,1
i swear xbox people are racist as fuck,0
shouf shabeb nej3ala cs bukra,1
j's on my feet ?,0
ouf shu khatar b belak? ?,0
nu framme i beirut. ska f?rs?ka sova direkt d? vi drar tidigt i morgon till s?dra libanon d?r vi ska till palestinska flyktingl?ger.,0
goals,0
ha mout?,0
hymn for the weekend ?,0
mother love is the fuel that enables a normal human being to do the impossible and the daughter of judy poe did.,0
my life in a tweet,0
but what about the fire,0
estamos tds apaixonados pelo tio gerardo.queria dar um abra o nele e falar das filhas maravilhosas q ele tem,0
i nominate ? for top 100 handsome faces 2016,0
it's pretty funny and entertaining nothing more,0
and when im not they get worse,0
things are way better when im around you.,0
omg what what if i burn the house down,0
tlop is so fucking pt2 makes me wanna,0
sua linda que saudades muito bom ter voc por aqui! somos f? da mais te amamos demais,0
can u heat up cold fries help,0
l sou2al li el jamahir bfout bnem w ppannik bukra aw ppannik halla2 w bukra.,0
pspa 202 intro to public administration,0
no i mean all the info is on moodle,0
cause y'all special,0
kello bi wadde bekeh bel ekher,1
huh,0
i hate lebanon,0
guys,0
thx guy luv u,0
ensa 3melet el alek bro,1
? saray &amp; jas live! ? ? ? ? ? (video: yasmina),0
ykahlili ? ? ? ? ? ??shu &lt;3 &lt;3 :-* :-*,0
scusami ma non hai idea quanto mi stai facendo male quando dice che l uno e meglio di l altro pero grazie lo,0
how can you know it if you don't even try,0
how can you know it if you don't even try?,0
not bad aye?,0
di marzio called that 2 months ago,0
voc eu estou passando mal,0
your icon omfg hayete ma atyabna jgkanvkaivosjbhebik,0
io non sceglio niente liran e saudita sono due dittature sinistre e criminale mi hanno preso il mio paese nei loro conflitti,0
the new animated like/favourite is quite interesting on,0
the new animated like/favourite is far interesting on,0
propaganda non vuol dire che non sono rele ma sono fatti per,0
happy mothers day &lt;3 &lt;3,0
i love you much,0
70 slides to go abel bukra w ma chu byehko tbfh.,0
assad sta usando queste foto per pulire il suo imaggio come soluzione,0
? ? ? enter ?,0
sei ottimista con la storia dei riformi sono tutte storie credimi non si cambiara niente ne in iran ne in saudita,0
ma in nulla paese c e liberta di fede! qatar sauita tutto lo stesso vanno ammazzati!,0
haram allah yeshfina,1
ma non sono realta maper ojettivi propaganda!,0
i fucking love happy birthday,0
never let ur mind stray from its goal.these celebrities all worldly distractions. focus ur mind &amp;what u believe u will achieve.,0
e propaganda per pulire l image e recente che l ho fanno prima non esisteva perche? vogliono pulire il loro imaggio,0
wel3ane jnoun,1
new series new me,0
i vote for as the most beautiful faces of 2016 23,0
tiny treasures &amp; more is delighted to capture those moments of your baby child or loved one by,0
non puo dare i diritti agli altri,0
l idea per me non e i diritti dei cristiani ma anche dei musulmani non capiscono niente dei diritti e quello che non capisce &gt;,0
i vote for as the most beautiful faces of 2016 71,0
in dubai kuwait qatar ci sono chiese e cristiani ma tutto l oriente e un,0
i hope so ugh. vote for me,0
in iran invece e vietato ai cristiani di aver la bibia in persiano la loro lingua,0
teb ana ?,1
? arabianchick live! ? ? ? ? (video: arabianchick),0
queste foto fanno parte della propagnda dopo la guerra non esistevano prima meno male,0
3ala li ketbo ya kaher l nisa2,1
aslan bl sayfye ke shi ahla ?,1
i'm going to leave this out there.,0
i wanna travel!,0
designed to be a linguist,0
ma tu pensi che c e qualcuno mglio del altro infatti sono due diaboli e non possiamo decidere quello e peggio,0
designed to be a linguist.,0
nihna min addis el batn yelli himlak general alla yikhalilna yek we tawilna bi 3omrak ta nchoufac ra3is ariban ya rab,1
it was a pleasure meeting all of your mothers ?,0
"anw this conversation got boring let's stop it and pretend we tried our best"""" something i want to say times",0
alone vs lonely,0
ya shou ?,1
*sigh*,0
si non hanno altri alternativi ma tanti hanno lasciato il paese,0
fe3lan wen byekhtefo dakhlik ?,1
why? your dp slays,0
the rest of p3 please,0
teslamile,1
non lasciarti prendere della propaganda in giro tutti sono il male pero la media ha parlato piu di isis e tutto c e peggio,0
'the best estimate is that a little indian girl dies from discrimination every four minutes.',0
anche i cristiani di siria hanno dovuto a causa i assad e isis lasciare il loro paese,0
not enough ?,0
plz sal7ile 7ayete,1
e i cristiani erano 3mil sotto saddam in iraq invece ora sono 100 milla,0
egli altri hanno fatto lo stesso! ognuno ha pulito la sua regione per se stesso,0
a couple of words to the women that made the person that i am. to you leylakhneisser @ bikfaya,0
otired ing s,0
ma e un conflito sunnita e l occidente a preso parte con uno dei due mentre si ammazzano.,0
all for one and one for all nthg ever happy et,0
non solo isis e un pericolo tutti i convolitti nella guerra in siria sono pericolosi per lumanita non lasciarti prendere in giro,0
ballash l 2ala2.,1
happy happy anniversary twitter &lt;3 thank you for the amazing time im having everyday &lt;3,0
gn,0
vero non basta che in iran sono gli elezioni show e virtuali niente diritti uoi valori umani almeno nell occidente ci sono un po,0
the fact i can you soon as possible and a great way of saying it,0
anthony get some rest and therapy,0
thank you never forget! my childhood bestfriend,0
sometimes it's not about a 9-page love letter. sometimes it's just about how she wrote the whole thing in your favorite color.,0
i should save this date,0
country club @,0
can i just magically teleport to you?,0
i don't have this thank you so much? you're beautiful and i miss you,0
ew mostafa go ewey,0
io invece sono sicura che l occidente capisce benissimo cosa sta succedendo e cosa sta facendo non ci sono altre soluzione,0
baby tala and baby carole are look alike :o :o &lt;3,0
my life: annoyed,0
i need to relax my mind,0
sei ottimista sono uguale l'iran ha una democrazia molto virtuale e una dittatura ma sono molto raffinati,0
just posted a photo @ beirut lebanon,0
mitla abadan sibhan alla,0
good night for real 12am n it's freezing outside,0
god damn,0
nagulat kasi ako s kulog kainis ? nagising,0
"stop being dramatic shireen"""" """"i'm not being dramatic like i'm fine with the fact that you don't care if i die or not""""",0
k,0
lol certo ha ricevuto milliardi per la sua campagna invece trump no pero trump non e culturato sull oriente non capisce nulla,0
how about po march 20 2015,0
dad ignored all 8 calls i screamed for him lmao k thanks i guess i'll just die alone on my bed with a cold and stiff neck,0
when you're dancing is ace and the weird guy at the club wants to dance with you but you're girl's got your back.,0
happy lebanese mothers day mama thank you for everything you've,0
pero io penso che questo che clinton sta dicendo e solo,0
guys stalk kau ng ng march 20 2015 s dlawa kung anu ginawa nila nun ?,0
you like ten year old's &lt;3,0
naturalemnte era l idea del arabia saudita ma ne saudita ne iran sono stessa storia,0
happy lebanese mothers day mama thank you for everything,0
that feeling when you get obsessed with someone you barely know for no reason,0
"abdallah_hallak : """"with jozef nohra ? """"",0
clinton accerta che siccome l arabia saudita kuwait qatar etc hanno considerato hezbollah terrorista poteva farlo anche lue,0
oh wait.. i'm questioning your love for wine now..,0
if you've never had to pause&amp;leave your shower with soap in your hair to make sure the chicken doesn't get burnt you don't know my struggle.,0
and ya'll say we don't need feminism,0
if you've never had to leave your shower with soap in your hair to make sure the chicken doesn't get burn you don't know my struggle.,0
#NAME?,0
get a girl who can do both: *picture of me throwing up inside two different mcdonalds*,0
shut up lama,0
if i want you never worry about who wants me.,0
the fact i can you soon enough for you and your friends are like,0
exactly.. so don't deal with it at all,0
? @ beirut down town,0
better than,0
: we cannot forget that 's fingerprints are on nearly every conflict across the middle east from to to,0
: if designates as organization it's time for &amp; rest of international community to do so,0
the is cold *shivers *,0
good night,0
aka she's awesome,0
la albe aka come to my heart (?),0
same here tbh,0
oh,0
oh ok well mabrouk new stuff to mingle with,0
you seriously have no idea what people are dealing with in their personal lives so just be nice it s that simple,0
yeah we took it in gynecology. it says: stay away.,0
i should probably sleep,0
shut the hell up,0
that's what i wanted to ask you they announced research kit in last year's right?,0
never let an old flame burn you twice. ?,0
it's alright comrade surely in the end at some nothing gets better,0
you're messing with my half existing brain even more,0
as usual gave a speech mixing peace and violence promotion. via,0
sima atel,0
same chou excuse me my brain is not tots with me,0
bae*,0
research kit and care kit kewl,0
yes! wth,0
"bhe ask ko lang ano title ng song yung nasa sc ni t na may """"everytime"""" na lyrics ba tnx miho missnamisskita",0
im a grill,0
bes eno ugh,0
112m apartment for sale in fanar real estate,0
la albe,0
omg hummus right nos,0
why do i even bother talking,0
nachef level 101,0
nothing important honestly,0
pretty boy dirty boy ?,0
i tried &lt;3,0
im done here,0
when you really want an audi,0
lak n2ezet awal ma shefta,1
someone on here once told me that their cousin is half hazara half tajik where u @ fam i wanna grace us with their beauty,0
si la france tait la syrie 13 9 millions de fran ais auraient quitt le pays via,0
why are u doing this to me ..,0
hol l nes li they don't tweet ella 3an l football &lt;&lt;&lt;?,0
you dont even drive an audi amro,0
"dolphin_team_yachting : """"sunseeker predator 68 @sunseekerofficial """"",0
"rogerlabaky : """" """"",0
ta musique e afreuse,0
137. apollo 13 7.5/10.,0
lb-bi : co-op - machining engineering (lebanon mo) (summer 2016 at emerson electric co,0
god bless u and ur sweet mother,0
although my pride is not easy to disturb you sent me flying.,0
live on @banjo @appleofficial special unveiling event:,0
missing you ? @ brazilia,0
i'm at starbucks in beirut,0
bi albe msh 3a albe?,0
trajine aktar yalla *black mails you*,0
i'm at classic burger joint - @classicbrgr in beirut lebanon,0
yal,0
that's very vague,0
btestehali aktar bktir ya maliket l ma7abi,0
same bas those are kinda the best,0
albee? zouk mosbeh welcomes you,0
it's the natural process. hell or not,0
she can keep them.. gaga can keep her grammy and her iconic unforgettable performances since,0
i vote for as the most beautiful faces of 2016 64,0
when i'm no longer young and beautiful,0
ok she does here,0
dame3 temsahh..,1
ma snap elik byo2ta3 chwei fa rah eefike,1
i think of this question,0
wish you many years of sucess,0
3am tsa3be l as2ila,1
real talk,0
i vote for as the most beautiful faces of 2016 72,0
just posted a photo @ galler chocolatier lebanon,0
now it makes sense,0
she doesn't look one bit hazara tho,0
being nice gets you nowhere in life.,0
being n,0
i vote for as the most beautiful faces of 2016 62,0
wjoudik b 7ayete houwe mn 2a8la w a7la l hadeya l allah 3atane hene tesba7e 3a alef kher ya 3omre,1
i vote for as the most beautiful faces of 2016 70,0
"michelefeghali : """"i wish u",0
is the consumer tapped out with the decrease in oil prices i do think this,0
two thumbs up what a show! what an amazing performance! a,0
its actually the same as the 6s but smaller 4 inches to be exact,0
i vote for as the most beautiful faces of 2016 65,0
apple it's called innovation not retrovation ..,0
still fire,0
i vote for as the most beautiful faces of 2016 66,0
i vote for as the most beautiful faces of 2016 63,0
good night guys.. hinanap ko kasi may record dun s 1 1/2 yes n sabi n kimmy confirmed,0
everyone who doubted me is asking for forgiveness if you ain't been a part of it at least you,0
throwback my shoot with @rudolfazzi &amp;,0
favorite on hob,0
3rd spot,0
estas invitada a conocer l?bano el lagarto y roro,0
45min till my birthday btw,0
tayeb meshe?,1
#applelive# smaller size,0
yalla sbi2ine,1
if you stand for a reason be prepared to stand alone like a @ `ammiq b lebanon,0
hala sir jay kaya pba basta no antonette at macoy moment sir jay n sweet isasako nmin ung babae,0
uff shu same,0
bas enu shu mdey2ik set,0
maybe lmhem kell chi mchannaj,0
trending at 3rd spot s madaling araw,0
3rd spot n po hehe,0
? : hi kifak cv?,1
essmo abo zain,0
yep july 2010 po un nung umiyak si kim sa the pero i think 1st quarter of 2010 wla n sila..,0
c daddy dub nangiti,0
la2 la2,1
alf taheya shouf hessab hal kalb abo zein jesh alsurer ando 4 mujahedeene meen al nussra be ladkier,1
meri ha?m is back,0
ouff sahten tiramisu tho&gt;,1
thc brownies you own my,0
resmen,0
this should be illegal,0
when your mom is your best friend @ beirut lebanon,0
seret 2ed7ak 3le marra bisou2a yimkin 2aw bheem,1
how is you twitterdotcom,0
ilyt,0
ahmad halla2 baddo yekul,1
just because it didn t last forever doesn t mean it wasn t worth your while.,0
i'm sleepy,0
stay tuned tomorrow for the biggest workshop ever in the middle east by the master of art,0
cuma gunu l tfen hadi .. ?abuk gel ?,0
hello spring s,0
i cry all the time ask your babe,0
?mer ama ay?p ya ok insanlar var burda,0
somewhere between wanting to say happy mothers' day on social media and despising public displays of affection,0
im sorry,0
the fact i can you soon as possible and to get my nails are,0
every single bone in my body is tensed,0
chou b7ebba hl ghenniye,1
rl needs to sort out what's going off the pitch rather than on the pitch,0
lbc,0
back to the roots baby,0
at pet boutique verdun 01862707 - 03202707 teacup and micro,0
oh my hod im ceying,0
amazing star,0
aman nede g zel,0
wayno @ marianne abdallah,0
nights. lots of fun. thank you! ? @costacosti,0
2rit bas zwan.,0
"football is a great love."""" -",0
adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele adele,0
irish/celtic pub anywhere in this country?,0
adele goes on twitter yall lmao wtf,0
"by playing football i can make people happy and enjoy myself at the same time."""" -",0
the fact i can get it right away with a lot more fun and addicting,0
hi.,0
your bio disjsnnsnsjdj,0
elissanajjar,0
jack cracks me up man,0
oh my shit,0
"a syrian doctor s plea: let us work""""",0
"football is about joy it's about dribbling."""" -",0
most underrated show ever,0
i meant to vote keresh bas ma ba2a fiye my answer!,0
"god gave me the skill to play football."""" -",0
learn form him,0
lama t2oum sawt l hoover bel beyt aw tarta2it tanajir,1
seriously,0
but u have his ego,0
thank you lord god,0
was amazing with you guyz! will be back soon. thank u &amp; luv u! ?,0
once he leaves ?,0
goodnight!,0
shoukren li2anak jbtilna hada l shkhs,1
pakiramdam ko busog na busog ako ?,0
meche l tawado3#kriza69#sara2ta#lol#happy mothers day#actor,1
ente kamen? yalla tera,1
but really i'd take anything,0
bitanesin ?,0
vote to to win the murex d'or he deserve all the best,0
eh lakan nem bala na2,1
even tho i dont like birthday wishes at 12 i like them during my the day tomorrow,0
linda,0
chocolates yum ?,0
my birthday is in an hour dont forget guys,0
blooms.origamiandpaperart with repostapp mon gateaux a maman ? @monmakiamoi,0
yeah right,0
i vote for as the most beautiful faces of 2016 60,0
eh shu ra2yak tenhaz? eh ana hek ra2ye,1
i vote for as the most beautiful faces of 2016 59,0
chapeau bas joe aktar men ra2i3a hal hal2a,0
juan manuel mata,0
she's hilarious wtf,0
i vote for as the most beautiful faces of 2016 58,0
leh ma lezim#,0
i vote for as the most beautiful faces of 2016 57,0
very true! which brings into light a lot of things which are wrong with rl!,0
i vote for as the most beautiful faces of 2016 56,0
napiyorsun sen ?mer,0
lah 3ade,1
"when i asked you """"kifak"""" i was hoping youd reply with a """"bhebbik"""" bas i guess ma ba2a lzm 3alle my expectations",0
i vote for as the most beautiful faces of 2016 54,0
"mahdikhairaldeen : """"love you ??""""",0
"hilary clinton is no better than trump by defending israel against palestinian """"terrorism"""".",0
yok yok ?lece?im ?imdi valla ?lece?im,0
"bhe anong title ng song yung nasa sc ni t yung may """"everytime"""" na lyrics ba?hehehe tnx miho missnamisskita",0
ele 3 hours fet7a hotspot min mom w ba3d ma 7assit,1
we like to dm you a question but its closed so the question how much you like to visit japan/.?,0
hayde sene byemrou2 hayda l 3id w barakit l bet w sett l kel mech mawjoude allah yer7ama w tkoun nafsa bl sama ya rabb,1
what to do what to do,0
i vote for as the most beautiful faces of 2016 53,0
bebke,1
i vote for as the most beautiful faces of 2016 52,0
i just want to live while i'm,0
feels so confused when u seem not to need me,0
only in ur worst days do u know who the good people are,0
i vote for as the most beautiful faces of 2016 51,0
ana kenet zghire w kenet khalto tbarremna bel koura nehna w 3am nesma3a good old days,1
bzejjik ffs u don't want to know shu 2rita,1
feel s,0
allah'm ok mutluyum,0
watch over you.,0
the drag,0
oh shit it's hotel california now.,0
i vote for as the most beautiful faces of 2016 50,0
i vote for as the most beautiful faces of 2016 49,0
i vote for as the most beautiful faces of 2016 48,0
ang lungkot pla kpag d mo sila nki2ta prang hindi ka na sanay miss you,0
i vote for as the most beautiful faces of 2016 47,0
nihayet ? ?mer ?plik i kiskaniyor kim bu ocuk acaba..,0
hullo,0
shu kebran,1
jasonnasser,0
goodnight world and nash,0
everyone is studying. why am i not?,0
sherte l layele ta kberna w wsolna la hon w refa2tina b kel 5otwe b 7ayetna allah y5alile yeke ya a7la 2em bl,1
wrej3et jana 3a twitter,1
buy me this beauty and i'll marry you,0
bshil,1
@ the village dbayeh,0
bhebbek,1
i miss you,0
ba3ed ma fi hada saint of the east,1
aesthetics can't hide the bags under my eyes,0
one hashtag to be used on april 4 to celebrate the annunciation holiday. _fr,0
it's mother's day a day for celebration yet it's so typical of lebanese media to turn it into a sad occasion in every way possible.,0
i've played both sports and enjoyed both as well. he's also asking to recycle ball rl's play-the-ball.,0
seviyorum ben sizi elinize sa?lik ok te?ekkur ediyoruz ?,0
also open,0
omg we have sfouf come over,0
a stitch for syria: thank you to courageous women who shared their stories with me for,0
going through old dm conversations ..,0
interested in a near lb-bi? this could be a great fit:,0
hope the lord forgives me,0
when people start liking old pictures of you on facebook and remind u of the you used to be back then,0
who's afraid of the punk police ? run them streets no justice no peace.,0
. dear a lebanon deserves a new coldplay's concert we are big fans ? ? we are so excited to,0
you still look like a song,0
do u want an autograph?,0
vos tenes a salem fucking bitch,0
gigi hadid's snaps are life,0
he want also nuclear war also really when i read the news on facebook my head get shocked,0
my soul feels dark but my nails are baby pink,0
like i've been listening to this all day he was only 17 years old amazing,0
momskanjanskqnanna,0
one hashtag to be used on april 4 to celebrate the annunciation holiday.,0
probably the worst ad for mothers' day. seriously ? ?,0
also btw if you don't have me on snapchat you're missing out on some excellent nerdrage just sayin,0
spread the happy y'all,0
alla khalikoun la ba3d,1
bhebik more,1
from the way you to the way you,0
sergio busquets ladies and gentlemen!,0
it's awesome when you randomly compliment a random stranger and then they compliment you back saying they'd always wanted to say the comp,0
eh good to know?,0
i'm so tired yet i don't mind spending sleepless weeks with you,0
hayde ma lezim ysamuwa emm. a mother loves her children.,0
ma ande 3g wil wifi mish meshe,0
when u nag about how bad ur failing to ur crush so that he offers you help,0
ne g zelsiniz boyle,0
enfin avec vous!,0
happy ?,0
well maybe not in everything but in many things,0
allah y5alilik yeha ya rab hbb,1
hehe! ?,0
khaleta* i think,1
did she make your heart beat faster than i could ?,0
veux pleurer veux dormir,0
i wanna run away,0
* 59 mins left to complete download * what if i died before that ?! ma besma3 lsong?!,0
i have the bestt,0
ppl actually accused hezbollah of arming people in bahrain,0
off beere nihayet ?mer kislanma zaman?,0
i'm at in zalka metn,0
enjoy lang c matti kay tito alden nya hehe,0
bu bu,0
awanta agostwin que tampoco es tan divertido recorrer mil iglesias en tres d?as,0
stop it ha,0
jirane 3emlin party.. shu ra2em l darak ?,1
i vote for as the most beautiful faces of 2016 46,0
i vote for as the most beautiful faces of 2016 45,0
ang hustisya daddy bae,0
abou zouz nwart l twitter,0
hello (i'm watching that right now,0
i'm in a restaurant in kaslik and the soundtrack includes bon jovi and whitney houston.,0
i vote for as the most beautiful faces of 2016 44,0
le ma be2dar shuf who viewed the video i posted on insta ?! shu hal ghalaza ?,1
i vote for as the most beautiful faces of 2016 43,0
you can apologize over and over but if your actions don't change the words become meaningless.,0
i vote for as the most beautiful faces of 2016 42,0
ang kapal dn ni ate mahiya k naman di sila need ni kim for promotion lol?,0
a7la tont garce,1
i'm rolling my eyes so hard,0
? @ cedars of god,0
i vote for as the most beautiful faces of 2016 41,0
ya alla?,1
i vote for as the most beautiful faces of 2016 38,0
i vote for as the most beautiful faces of 2016 40,0
made a theme box for mother's day ?,0
i vote for as the most beautiful faces of 2016 39,0
begin strong &amp; be a game changer in everything you do.,0
miss u,0
allah ykhallilkoun yeha w b 3omra ya rabb,1
enty madrasae,1
woman,0
i vote for as the most beautiful faces of 2016 37,0
ma mlahzin ma 3am ne2 ktir?,1
england is the perfect place to be sad smh,0
alla khalikoun la ba3d ya a7la 3ayle,1
tnx tante we knew the best boy in the world because of u,0
i vote for as the most beautiful faces of 2016 36,0
i'm seriously needing a body pillow or a pet,0
i love u,0
cremino ?,0
well he's so gorgeous it hurts,0
yalla min ba3ed fi ma bahdalne kermel l grapefruit smh,1
i vote for as the most beautiful faces of 2016 34,0
i love u to the moon and back princess,0
an adorable woman,0
i vote for as the most beautiful faces of 2016 35,0
i vote for as the most beautiful faces of 2016 32,0
many blessings dear saimen. ykhalilak yeha ?,0
happy mother's day alla yklili yaki,0
learn the appreciation of beauty without doubting your own,0
the difference between today and yesterday is unreal?,0
kl 3am enty w oum kl dnye bkher alla la yr7mna mnkoum,1
*screams*,0
the real question is what if you flip everything around bas it turns out you stay the same bas l events wl places change?,0
ma betshufe halek lamma tkune 3am tekle?,1
"it simply translates to """" """"",0
i wouldn't wanna be someone totally different than who i am now maybe a little bit diff is okay but not totally,0
monday evening ? @ hamra street beirut,0
food &gt; you sorry,0
his little fake giggle is everything,0
"elma_1982 : """" """"",0
i know i talk to myself over here ?,0
wsolet?,1
alla khaly koul omahatna,1
the office shi ktir zbele?,0
just realized i'm the most unproductive person on earth,0
imagine letting you have that grapefruit,0
ade helo eno nehna l wahidin l mfarsin 2 semaines 3a p ques,1
i'd choose no like the whole package,0
layek kl tweet bshufo,1
is the sweetest guy on earth!,0
ma btmshe iza kna ktar,1
enty oum misali kul 3am ou enty b alf kher,1
@appleofficlal,0
mafine ma rouh,0
no one would change it to the worse though,0
barki bukra 4 se3at maths,1
adorable mother,0
daroure nazil souwar ana w mum wala bkun ma,1
i think my best friend and i would make great prs ? consider hiring us,0
if you can't sum up what's really important then have you really understood the subject?,0
proud to be,0
a second chance to meet someone for the first time? yes please,0
goosebumps pa din aq dito amp,0
go away,0
v cool,0
fine ?,0
i was on my air board and bumped my 2nd toe with the treadmill (dontask) and now it's hurting,0
i belong here tho,0
ik ily,0
god bless your genes son ?,0
di n tlga ako sanay magpuyat,0
not sure but i'd vote no,0
trop deg,0
antokyo n ako ang aga pa,0
papasok n tau nakastandby n siya,0
"my brother just entered the room and asked me """"baddak shi mnel dekkene"""" so my young brother who's sleeping said """"la2"""" i'm crying",0
sleep,0
then vote it ?,0
should i skip my 11 am class so i can go to uni at 2 and sleep? (he doesnt take attendance and its all online),0
happy mother day ramiz,0
lall,0
this syncing is taking so long,0
i can not anything,0
happy mother day joy,0
cute and nice avi,0
wednesday last day of school and it will begin,0
ma shefet hay?,0
omg,0
in a month itll be 4/20,0
i vote for as the most beautiful faces of 2016 31,0
because you wanted mom pictures // mother in nour hage,0
i vote for as the most beautiful faces of 2016 30,0
are u body shaming me? ana bfarjik 3tine ra2em ahlak,1
mind the gap( no idea what gap i'm talking about),0
i vote for as the most beautiful faces of 2016 ld 28,0
mano arikon,1
ungrateful bitch,0
naughty uh uh uh,0
how about a video confirming conte to chelsea,0
aslan enta shu fahamak wahad sex offender perv sick freak matloub lal 3adele bel jem3a,1
dear mama // 2pac,0
you did it you did it,0
i vote for as the most beautiful faces of 2016 27,0
i want a video of you saying labayka ya nasrollah come on please,0
welcome to join us! cak,0
how,0
one life. just one. why aren't we running like we are on fire towards our wildest @,0
